Category,iPod,YOY growth
Q4/01,0.125,
Q1/02,0.062,
Q2/02,0.054,
Q3/02,0.14,
Q4/02,0.219,75.2
Q1/03,0.08,29.03
Q2/03,0.304,462.96
Q3/03,0.336,140
Q4/03,0.733,234.7
Q1/04,0.807,908.75
Q2/04,0.86,182.89
Q3/04,2.016,500
Q4/04,4.58,524.83
Q1/05,5.311,558.12
Q2/05,6.155,615.7
Q3/05,6.451,219.99
Q4/05,14.043,206.62
Q1/06,8.526,60.53
Q2/06,8.111,31.78
Q3/06,8.729,35.31
Q4/06,21.066,50.01
Q1/07,10.549,23.73
Q2/07,9.815,21.01
Q3/07,10.2,16.85
Q4/07,22.121,5.01
Q1/08,10.644,0.9
Q2/08,11.011,12.19
Q3/08,11.052,8.35
Q4/08,22.727,2.74
Q1/09,11.013,3.47
Q2/09,10.215,-7.23
Q3/09,10.177,-7.92
Q4/09,20.97,-7.73
Q1/10,10.885,-1.16
Q2/10,9.406,-7.92
Q3/10,9.051,-11.06
Q4/10,19.446,-7.27
Q1/11,9.017,-17.16
Q2/11,7.535,-19.89
Q3/11,6.622,-26.84
Q4/11,15.397,-20.82
Q1/12,7.673,-14.91
Q2/12,6.751,-10.4
Q3/12,5.344,-19.3
Q4/12,12.679,-17.65
Q1/13,5.633,-26.59
Q2/13,4.569,-32.32
Q3/13,3.498,-34.54
Q4/13,6.049,-52.29
Q1/14,2.761,-50.99
Q2/14,2.926,-35.96
Q3/14,2.641,-24.5